id,작성일,제목,가족형태,공간,평수구간,스타일,세부공사,분야,작업,예산,조회,스크랩,좋아요,댓글,url
3069,2021-02-27,시공 없이 꾸몄어요. 세련된 스튜디오 같은 집,싱글라이프,아파트,35,0,0,홈스타일링,셀프•DIY,0,46226,1262,251,66,https://ohou.se/projects/43309/detail?affect_type=ProjectSelfIndex&affect_id=3069
3070,2021-02-28,탁 트인 직사각형 원룸에서 초록이들과 함께 살고 있어요,싱글라이프,원룸&오피스텔,15,0,0,홈스타일링,셀프•DIY,200,45008,1766,141,36,https://ohou.se/projects/44443/detail?affect_type=ProjectSelfIndex&affect_id=3070
3071,2021-02-26,베란다는 없지만 캠핑존은 있지! 30평 전셋집 인테리어,신혼부부,아파트,35,내추럴,"주방리모델링, 발코니확장",홈스타일링,셀프•DIY,0,71709,1994,566,67,https://ohou.se/projects/43416/detail?affect_type=ProjectSelfIndex&affect_id=3071
3072,2021-02-26,"우리 집 하이라이트, 가벽과 유리로 개방감을 준 알파룸",취학 자녀가 있는 집,아파트,35,"모던, 미니멀&심플","조명시공, 중문, 가벽&파티션, 폴리싱타일",부분공사,반셀프,1500,63724,1628,410,65,https://ohou.se/projects/42503/detail?affect_type=ProjectSelfIndex&affect_id=3072
3073,2021-02-27,하나를 사더라도 꼼꼼히 골라 더욱 애착이 가는 자취집,기타,원룸&오피스텔,15,0,0,홈스타일링,셀프•DIY,200,39093,731,82,11,https://ohou.se/projects/44442/detail?affect_type=ProjectSelfIndex&affect_id=3073
3074,2021-02-26,자연스러운 분위기에 활용성을 더한 우리의 시골집,신혼부부,단독주택,35,"내추럴, 북유럽, 빈티지&레트로, 유니크&믹스매치",원목마루,건축,반셀프,0,60465,2022,706,84,https://ohou.se/projects/43147/detail?affect_type=ProjectSelfIndex&affect_id=3074
3075,2021-02-26,"단독주택, 생각보다 장점이 훨씬 더 많아요.",취학 자녀가 있는 집,단독주택,55,0,0,리모델링,전문가,0,75352,2430,607,115,https://ohou.se/projects/42121/detail?affect_type=ProjectSelfIndex&affect_id=3075
3076,2021-02-26,취향 다른 부부의 현실적인 첫 보금자리,신혼부부,아파트,25,"모던, 내추럴",0,홈스타일링,셀프•DIY,500,73372,1060,270,60,https://ohou.se/projects/42408/detail?affect_type=ProjectSelfIndex&affect_id=3076
3077,2021-02-26,공간의 편의와 아름다움 모두 중요하게 생각하고 꾸민 집,싱글라이프,원룸&오피스텔,5,0,0,홈스타일링,셀프•DIY,0,48557,1362,151,11,https://ohou.se/projects/44440/detail?affect_type=ProjectSelfIndex&affect_id=3077
3078,2021-02-25,"多주택 | 진짜 생활을 위한 주택, 세 가족의 집",취학 자녀가 있는 집,단독주택,45,내추럴,"원목마루, 주방리모델링, 조명시공, 중문, 가벽&파티션, 슬라이딩도어",건축,전문가,0,26965,380,147,62,https://ohou.se/projects/40161/detail?affect_type=ProjectSelfIndex&affect_id=3078
3079,2021-02-24,구조에 반한 22년 된 아파트에 로맨틱 무드 채우기 ,신혼부부,아파트,25,"미니멀&심플, 내추럴, 러블리&로맨틱","주방리모델링, 조명시공, 중문, 슬라이딩도어",부분공사,전문가,2000,125851,3902,993,107,https://ohou.se/projects/43547/detail?affect_type=ProjectSelfIndex&affect_id=3079
3080,2021-02-24,프로 홈베이커의 집안 곳곳 작업실과 홈 카페,신혼부부,아파트,25,내추럴,0,홈스타일링,셀프•DIY,0,52101,1389,275,57,https://ohou.se/projects/42814/detail?affect_type=ProjectSelfIndex&affect_id=3080
3081,2021-02-24,"패브릭으로 공간 분리, 9평 나의 공간",싱글라이프,빌라&연립,5,"빈티지&레트로, 러블리&로맨틱",0,홈스타일링,셀프•DIY,100,75248,1560,398,92,https://ohou.se/projects/42609/detail?affect_type=ProjectSelfIndex&affect_id=3081
3082,2021-02-25,넓은 거실이 매력적인 20평대 올리모델링 아파트,신혼부부,아파트,25,0,0,리모델링,전문가,2200,24003,321,33,2,https://ohou.se/projects/44434/detail?affect_type=ProjectSelfIndex&affect_id=3082
3083,2021-02-24,"낡은 집에서 가능성을 발견한, 그림 같은 집",아기가 있는 집,아파트,45,"모던, 미니멀&심플","원목마루, 주방리모델링, 조명시공, 중문, 슬라이딩도어, 발코니확장",리모델링,전문가,6500,117832,2547,773,72,https://ohou.se/projects/43610/detail?affect_type=ProjectSelfIndex&affect_id=3083
3084,2021-02-24,40년 된 아파트를 편안한 자연색감을 담은 신혼집으로,신혼부부,아파트,35,"미니멀&심플, 내추럴","헤링본 마루, 주방리모델링, 조명시공, 슬라이딩도어, 발코니확장",리모델링,전문가,0,51041,1269,311,42,https://ohou.se/projects/43330/detail?affect_type=ProjectSelfIndex&affect_id=3084
3085,2021-02-24,책을 좋아해요. 부부의 취향을 담은 집 ,신혼부부,아파트,25,모던,0,부분공사,셀프•DIY,0,46269,1536,357,39,https://ohou.se/projects/42553/detail?affect_type=ProjectSelfIndex&affect_id=3085
3086,2021-02-24,간결하면서도 아늑한 수납까지 넉넉한 네 식구의 집,취학 자녀가 있는 집,아파트,45,0,0,리모델링,전문가,0,78985,2227,750,121,https://ohou.se/projects/43005/detail?affect_type=ProjectSelfIndex&affect_id=3086
3087,2021-02-23,포토그래퍼의 취향이 가득 담긴 원목 하우스 '비키홈',기타,빌라&연립,25,빈티지&레트로,0,홈스타일링,셀프•DIY,0,38357,1625,465,51,https://ohou.se/projects/42613/detail?affect_type=ProjectSelfIndex&affect_id=3087
3088,2021-02-24,시공은 줄이고 마음에 드는 가구로 꾸민 30살 아파트,신혼부부,아파트,25,0,0,홈스타일링,셀프•DIY,1500,25907,604,54,26,https://ohou.se/projects/44439/detail?affect_type=ProjectSelfIndex&affect_id=3088
3089,2021-02-23,"노력으로 얻은 결실, 26평 갤러리 컨셉 하우스",싱글라이프,아파트,25,"모던, 미니멀&심플, 내추럴","조명시공, 아트월, 발코니확장",홈스타일링,셀프•DIY,0,120488,4001,1252,207,https://ohou.se/projects/43546/detail?affect_type=ProjectSelfIndex&affect_id=3089
3090,2021-02-23,호텔 부럽지 않은 인테리어의 부분 시공 포인트!,신혼부부,아파트,35,미니멀&심플,"포세린타일, 주방리모델링, 조명시공",부분공사,전문가,1900,68517,1781,539,75,https://ohou.se/projects/43608/detail?affect_type=ProjectSelfIndex&affect_id=3090
3091,2021-02-23,화이트 미니멀 인테리어에 우드 한 스푼 feat 무몰딩,"신혼부부, 아기가 있는 집",아파트,35,"모던, 미니멀&심플, 내추럴","원목마루, 포세린타일, 주방리모델링, 조명시공, 폴딩도어, 중문, 가벽&파티션",리모델링,반셀프,4300,112411,3335,903,117,https://ohou.se/projects/42572/detail?affect_type=ProjectSelfIndex&affect_id=3091
3092,2021-02-23,"多주택 | 자연과 맞닿은 사색의 공간, 세 자매의 집",기타,단독주택,75,모던,"포세린타일, 주방리모델링, 조명시공, 중문, 가벽&파티션, 슬라이딩도어",건축,전문가,0,24813,496,134,67,https://ohou.se/projects/39782/detail?affect_type=ProjectSelfIndex&affect_id=3092
3093,2021-02-22,나와 가족에게 맞춘 집에 살고 있습니다,아기가 있는 집,아파트,35,"내추럴, 러블리&로맨틱","중문, 발코니확장",홈스타일링,셀프•DIY,1000,52743,952,200,65,https://ohou.se/projects/42836/detail?affect_type=ProjectSelfIndex&affect_id=3093
3094,2021-02-23,3번의 시행착오 끝에 좀 더 마음에 들게 꾸민 오피스텔,싱글라이프,원룸&오피스텔,5,0,0,홈스타일링,셀프•DIY,100,69660,1681,253,22,https://ohou.se/projects/44436/detail?affect_type=ProjectSelfIndex&affect_id=3094
3095,2021-02-21,'퀸스 갬빗'에서 영감을 받은 레트로 무드 하우스,취학 자녀가 있는 집,아파트,35,빈티지&레트로,"원목마루, 주방리모델링, 조명시공, 가벽&파티션, 슬라이딩도어, 아트월",리모델링,전문가,5000,133488,3753,1253,105,https://ohou.se/projects/43738/detail?affect_type=ProjectSelfIndex&affect_id=3095
3096,2021-02-21,"손꼽아 기다린 집, 마음에 들게 바꿔서 행복하게. ",신혼부부,아파트,25,모던,"주방리모델링, 조명시공, 중문",부분공사,전문가,1800,73447,1890,530,62,https://ohou.se/projects/43428/detail?affect_type=ProjectSelfIndex&affect_id=3096
3097,2021-02-21,반려견을 향한 배려가 듬뿍 담긴 깔끔한 이층집,"부모님과 함께 사는 집, 기타",빌라&연립,25,미니멀&심플,0,홈스타일링,셀프•DIY,0,24605,503,126,29,https://ohou.se/projects/42614/detail?affect_type=ProjectSelfIndex&affect_id=3097
3098,2021-02-21,오래된 내 방 한 켠을 감성 가득한 홈 카페로,부모님과 함께 사는 집,빌라&연립,25,"모던, 미니멀&심플, 내추럴",0,리모델링,셀프•DIY,0,45369,1176,230,24,https://ohou.se/projects/42435/detail?affect_type=ProjectSelfIndex&affect_id=3098
3099,2021-02-20,고양이와 함께 사는 디자이너&번역가 부부의 집무실,"신혼부부, 기타",아파트,35,"모던, 미니멀&심플, 내추럴",0,리모델링,반셀프,0,50628,1654,565,156,https://ohou.se/projects/43272/detail?affect_type=ProjectSelfIndex&affect_id=3099
3100,2021-02-20,반려견과 함께하는 행복주택 싱글라이프,싱글라이프,아파트,15,"모던, 내추럴",0,홈스타일링,셀프•DIY,0,142261,4827,1487,116,https://ohou.se/projects/42669/detail?affect_type=ProjectSelfIndex&affect_id=3100
3101,2021-02-20,"우드앤화이트, 그리고 감각적인 소품으로 더 특별하게",아기가 있는 집,아파트,35,"모던, 미니멀&심플, 내추럴","조명시공, 중문",부분공사,전문가,0,38867,1325,284,29,https://ohou.se/projects/40486/detail?affect_type=ProjectSelfIndex&affect_id=3101
3102,2021-02-21,깔끔한 리모델링 베이스에 노란색을 한 스푼 더한 신혼집,신혼부부,아파트,25,"미니멀&심플, 내추럴","원목마루, 주방리모델링, 조명시공, 중문, 가벽&파티션, 슬라이딩도어",리모델링,전문가,0,27503,652,60,11,https://ohou.se/projects/43478/detail?affect_type=ProjectSelfIndex&affect_id=3102
3103,2021-02-20,나만의 디자인 브랜드 작업과 휴식 모두 이곳에서.,싱글라이프,원룸&오피스텔,5,0,0,홈스타일링,셀프•DIY,0,27879,671,89,8,https://ohou.se/projects/44257/detail?affect_type=ProjectSelfIndex&affect_id=3103
3104,2021-02-19,반려견 전용 주택에 차린 신혼집 #24평을_42평처럼,"신혼부부, 기타",빌라&연립,25,"내추럴, 북유럽, 빈티지&레트로, 프렌치&프로방스","포세린타일, 주방리모델링, 조명시공, 폴딩도어, 중문",홈스타일링,반셀프,1000,93096,2400,794,78,https://ohou.se/projects/42586/detail?affect_type=ProjectSelfIndex&affect_id=3104
3105,2021-02-19,하루를 살아도 내가 살고 싶은 집에서.,"신혼부부, 기타",아파트,25,"미니멀&심플, 내추럴","원목마루, 주방리모델링, 조명시공, 중문, 발코니확장",리모델링,전문가,3000,103430,3632,886,106,https://ohou.se/projects/42364/detail?affect_type=ProjectSelfIndex&affect_id=3105
3106,2021-02-19,"多주택 | 남편을 위한 차고, 아내를 위한 다이닝룸",기타,단독주택,55,내추럴,"포세린타일, 주방리모델링, 조명시공, 폴딩도어, 중문, 가벽&파티션, 슬라이딩도어",건축,전문가,0,40850,848,417,80,https://ohou.se/projects/39731/detail?affect_type=ProjectSelfIndex&affect_id=3106
3107,2021-02-18,2평 작은 방에서 찾아가는 나의 취향,부모님과 함께 사는 집,아파트,25,"내추럴, 빈티지&레트로",0,홈스타일링,셀프•DIY,100,101338,3773,1091,105,https://ohou.se/projects/42611/detail?affect_type=ProjectSelfIndex&affect_id=3107
3108,2021-02-18,단조롭지 않은 화이트 활용법,신혼부부,아파트,25,"모던, 내추럴",0,홈스타일링,셀프•DIY,0,51971,1618,332,56,https://ohou.se/projects/42018/detail?affect_type=ProjectSelfIndex&affect_id=3108
3109,2021-02-19,"전셋집도 애정으로, 부부가 대화하며 함께 꾸민 신혼집",신혼부부,아파트,25,0,0,부분공사,셀프•DIY,100,29557,611,49,15,https://ohou.se/projects/44000/detail?affect_type=ProjectSelfIndex&affect_id=3109
3110,2021-02-18,"11년 된 판상형 아파트, 내추럴 우드 무드로 새롭게.",아기가 있는 집,아파트,35,"미니멀&심플, 내추럴","헤링본 마루, 주방리모델링, 폴딩도어, 중문, 가벽&파티션",리모델링,전문가,0,90036,4529,1124,137,https://ohou.se/projects/42114/detail?affect_type=ProjectSelfIndex&affect_id=3110
